timestep,v,omega,controller,solve_time_ms
352,1.9000000000000083,-2.8500000000008376,MPC,247.87369999830844
353,1.9000000000000083,-2.850000000000829,MPC,290.6998999969801
354,1.9000000000000081,-2.8500000000008203,MPC,233.8382999987516
355,1.9000000000000081,-2.850000000000812,MPC,292.8594000004523
356,1.9000000000000081,-2.850000000000803,MPC,413.0229000002146
357,1.9000000000000081,-2.850000000000794,MPC,430.29639999804203
358,1.900000000000008,-2.8500000000007857,MPC,465.2654000019538
359,1.900000000000008,-2.850000000000777,MPC,279.13620000254014
360,1.900000000000008,-2.850000000000768,MPC,295.4940000017814
361,1.900000000000008,-2.8500000000007586,MPC,122.88840000110213
362,1.9000000000000077,-2.8500000000007497,MPC,101.8605999997817
363,1.9000000000000077,-2.8500000000007404,MPC,89.39240000108839
364,1.9000000000000077,-2.8500000000007315,MPC,190.0167000021611
365,1.9000000000000075,-2.850000000000722,MPC,95.9831000000122
366,1.9000000000000075,-2.850000000000713,MPC,88.51409999988391
367,1.9000000000000075,-2.8500000000007035,MPC,85.09110000159126
368,1.9000000000000072,-2.850000000000694,MPC,89.40220000295085
369,1.9000000000000072,-2.8500000000006844,MPC,88.15320000212523
370,1.9000000000000072,-2.850000000000675,MPC,78.98869999917224
371,1.9000000000000072,-2.8500000000006653,MPC,84.48459999999614
372,1.900000000000007,-2.8500000000006556,MPC,125.79949999781093
373,1.900000000000007,-2.850000000000646,MPC,118.0382999991707
374,1.900000000000007,-2.850000000000636,MPC,127.52960000216262
375,1.900000000000007,-2.850000000000626,MPC,115.84930000026361
376,1.900000000000007,-2.850000000000616,MPC,89.54720000110683
377,1.900000000000007,-2.850000000000606,MPC,91.16020000146818
378,1.900000000000007,-2.8500000000005956,MPC,77.24410000082571
379,1.900000000000007,-2.8500000000005854,MPC,131.4740999987407
380,1.900000000000007,-2.850000000000575,MPC,113.61770000075921
381,1.900000000000007,-2.8500000000005645,MPC,80.39540000027046
382,1.900000000000007,-2.8500000000005543,MPC,92.4300000006042
383,1.900000000000007,-2.8500000000005437,MPC,146.5678000022308
384,1.900000000000007,-2.850000000000533,MPC,106.32559999794466
385,1.900000000000007,-2.8500000000005223,MPC,101.88950000156183
386,1.900000000000007,-2.8500000000005117,MPC,91.87580000070739
387,1.900000000000007,-2.8500000000005006,MPC,120.915800001967
388,1.900000000000007,-2.85000000000049,MPC,79.29579999836278
389,1.9000000000005097,-2.850000000000482,MPC,76.60260000193375
390,1.9000000000007626,-2.850000000000476,MPC,93.10909999840078
391,1.9000000003786555,-2.8500000000005627,MPC,87.04849999776343
392,1.900000000505212,-2.850000000000637,MPC,71.79059999907622
393,1.9000000035783393,-2.8500000000145187,MPC,79.81240000299294
394,1.9000000147637934,-2.8500000001326935,MPC,76.3613000017358
395,1.9000000282889158,-2.850000001269383,MPC,68.99399999747402
396,1.9000000958315302,-2.850000006566936,MPC,70.63529999868479
397,1.9000000553376082,-2.8499999780196497,MPC,65.56759999875794
398,1.9000000387625633,-2.849999982179667,MPC,77.97109999955865
399,1.9000000479221428,-2.8499999953888704,MPC,58.80329999854439
400,1.9000000491410405,-2.850000001631984,MPC,78.11629999923753
401,1.9000000441593952,-2.850000001138736,MPC,66.3499000002048
402,1.9000000355586972,-2.8500000027313313,MPC,134.22299999729148
403,1.8999999881639371,-2.850000005743894,MPC,66.5737999988778
404,1.8999999138627244,-2.8500000084294586,MPC,73.22670000212383
405,-1.900000130668863,-2.8500000121731084,MPC,69.5783000010124
406,-1.9000001015982746,-2.8500000034759454,MPC,72.25829999879352
